WIDTH: 500
[468] - X: -1.000000, Y: 0.575520
[469] - X: -1.000000, Y: 0.578160
[470] - X: -1.000000, Y: 0.580800
[471] - X: -1.000000, Y: 0.583440
[472] - X: -1.000000, Y: 0.586080
[473] - X: -1.000000, Y: 0.588720
[474] - X: -1.000000, Y: 0.591360
[475] - X: -1.000000, Y: 0.594000
[476] - X: -1.000000, Y: 0.596640
[477] - X: -1.000000, Y: 0.599280
[478] - X: -1.000000, Y: 0.601920
[479] - X: -1.000000, Y: 0.604560
[480] - X: -1.000000, Y: 0.607200
[481] - X: -1.000000, Y: 0.609840
[482] - X: -1.000000, Y: 0.612480
[483] - X: -1.000000, Y: 0.615120
[484] - X: -1.000000, Y: 0.617760
[485] - X: -1.000000, Y: 0.620400
[486] - X: -1.000000, Y: 0.623040
[487] - X: -1.000000, Y: 0.625680
[488] - X: -1.000000, Y: 0.628320
[489] - X: -1.000000, Y: 0.630960
[490] - X: -1.000000, Y: 0.633600
[491] - X: -1.000000, Y: 0.636240
[492] - X: -1.000000, Y: 0.638880
[493] - X: -1.000000, Y: 0.641520
[494] - X: -1.000000, Y: 0.644160
[495] - X: -1.000000, Y: 0.646800
[496] - X: -1.000000, Y: 0.649440
[497] - X: -1.000000, Y: 0.652080
[498] - X: -1.000000, Y: 0.654720
[499] - X: -1.000000, Y: 0.657360
[500] - X: -1.000000, Y: 0.660000
